,id,date,text,likes,retweet,comments,urls
0,1253230788448927746,2020-04-23 07:54:38+00:00,ALMOST THERE! We are just ONE DAY away! Stay tuned for the surprise! #anwmalaysia #LetsBeKind #StayAWesome #StayHome https://t.co/Z79v4rnv80,3,1,0,[]
1,1210842560953892870,2019-12-28 08:38:57+00:00,ARE YOU UP FOR SOMETHING BIG? THAT'S RIGHT! Try out our exclusive combo offers of XXL Special and Supreme XXL for s… https://t.co/jErqdAbE86,5,3,0,[{'url': 'https://t.co/jErqdAbE86'}]
2,1284748634035064834,2020-07-19 07:15:18+00:00,What is a better way to enjoy your Sunday other than a sip of our frosty RB that sets up the mood!   Enjoy 2 bott… https://t.co/lkTs7oFKfB,13,3,1,[{'url': 'https://t.co/lkTs7oFKfB'}]
3,1286143334088470529,2020-07-23 03:37:20+00:00,Do chickens fly? Our Chicken Sandwich can definitely make your tatebuds flyin high!   Savour yourself to a golden… https://t.co/ZKBIh9NZnb,3,0,0,[{'url': 'https://t.co/ZKBIh9NZnb'}]
4,1178851200726224897,2019-10-01 01:56:42+00:00,RT @aizadfahmy: A&amp;W Root Beer float is the best carbonated drink ever existed https://t.co/eTAryOigtB,0,8757,1,[{'url': 'https://t.co/eTAryOigtB'}]
5,1137043909802987520,2019-06-07 17:09:28+00:00,#Announcement Our outlet in Batu Pahat Petronas will be closing down permanently. Thank you for your support throug… https://t.co/pEdOfBPwDa,2,2,0,[{'url': 'https://t.co/pEdOfBPwDa'}]
6,1230398620668551168,2020-02-20 07:47:45+00:00,Different shape but SAME AWESOME TASTE! Indulge in our heavenly crispy stealth fries or funky curly fries and be aw… https://t.co/EBsAhmP2H2,5,2,4,[{'url': 'https://t.co/EBsAhmP2H2'}]
7,1202585121603215362,2019-12-05 13:46:50+00:00,Have you ever wondered? How old is Rooty actually? #anwmalaysia #anwmsia #endabyu #RootyBear https://t.co/d3nODN2E4a,14,4,2,[]
8,1285447153129684993,2020-07-21 05:30:58+00:00,Belanje ?? Friends don't lie 😏 https://t.co/4Qy10bNQ78,5,3,1,[{'url': 'https://t.co/4Qy10bNQ78'}]
9,1191235467221458945,2019-11-04 06:07:22+00:00,Up for surprises? We have something BIG coming your way! This is definitely not something you would want to skip!… https://t.co/TQzfpNHcbX,5,1,0,[{'url': 'https://t.co/TQzfpNHcbX'}]
10,1132934628002504704,2019-05-27 09:00:38+00:00,Can't decide to have Burger or Aroma Chicken? How about having both! Enjoy our #DoubleBlessingsPlus promo with an… https://t.co/ggplO8yQSM,3,1,0,[{'url': 'https://t.co/ggplO8yQSM'}]
11,1279647177514422272,2020-07-05 05:23:56+00:00,Your Sunday is not complete without our Coney Cheese Fries!    End the last day of the week with a bang when you… https://t.co/ssmgqt3ukh,4,2,0,[{'url': 'https://t.co/ssmgqt3ukh'}]
