,id,date,text,likes,retweet,comments,urls
0,1351711058583461889,2021-01-20 02:00:04+00:00,"Plus, with our Happy Hour, you can get 50% off our chicken 🍗 side when you order with our Buy 1 Free 2 Geng Deal no… https://t.co/a3zrEp7J9a",0,0,2,[{'url': 'https://t.co/a3zrEp7J9a'}]
1,1347199020192522241,2021-01-07 15:10:50+00:00,"RT @Aliahishamudin: Dah cuba #DurianLavaCake from @DominosMY ? Janji #CravingSatisfied kan! 😋 Don't forget to share your photo, tag 5 frie…",0,2,1,[]
2,1350773067165822976,2021-01-17 11:52:50+00:00,Rasa nak makan pizza tak? 🍕Your pizza will taste even better with our #EverydayValue Buy 1 Free 2 deal! 🤯 Talk abou… https://t.co/MbDcwzcnQn,12,1,0,[{'url': 'https://t.co/MbDcwzcnQn'}]
3,1385870756513402882,2021-04-24 08:18:31+00:00,"Jom Sertai Geng Rider Domino's! 🍕 Kami mencari Rider untuk cawangan di sekitar Lembah Klang seperti Damansara, Puch… https://t.co/QMRlLjGEzF",1,2,0,[{'url': 'https://t.co/QMRlLjGEzF'}]
4,1353258484016443393,2021-01-24 08:28:59+00:00,Rasa nak makan pizza tak? 🍕Your pizza will taste even better with our #EverydayValue Buy 1 Free 2 deal! 🤯 Talk abou… https://t.co/KrDZEY3V6X,3,1,2,[{'url': 'https://t.co/KrDZEY3V6X'}]
5,1331147366221500416,2020-11-24 08:07:18+00:00,RT @aiminordin: Definitely with pineapple on top,0,1,2,[]
6,1385516465302884352,2021-04-23 08:50:41+00:00,"Tired of waiting for food that never seems to arrive? 🤔 Don’t worry about it, Domino’s has you covered. Just order… https://t.co/Dae7lm2cVG",0,0,2,[{'url': 'https://t.co/Dae7lm2cVG'}]
7,1332217691793358849,2020-11-27 07:00:23+00:00,Craving for some deal-icious goodness? 🤤 Jom order Domino's Pizzas from as low as RM5 each! 🤯🍕 With 30 over flavors… https://t.co/BpZcqxlOaJ,1,2,1,[{'url': 'https://t.co/BpZcqxlOaJ'}]
8,1308617083035373569,2020-09-23 04:00:00+00:00,Hantar anak ke taska dengan lebih mudah dan bergaya bersama BEG EDISI TERHAD Domino's! 🤩 Pesan tawaran DISKAUN SEHI… https://t.co/opQg8Lt6Lc,3,2,1,[{'url': 'https://t.co/opQg8Lt6Lc'}]
9,1360080829804781569,2021-02-12 04:18:33+00:00,The best thing about working 💻 from home? Getting your fav pizza 🍕with 50% off chicken side🍗 delivered to you!😍 Yup… https://t.co/FWpwtNDa4D,1,0,1,[{'url': 'https://t.co/FWpwtNDa4D'}]
10,1385111193463840771,2021-04-22 06:00:17+00:00,*Tertakluk pada terma dan syarat.*Pesanan minimum adalah sebanyak RM30.*Guna Kod: KKP1/KKP2/KKP3.,1,0,5,[]
11,1324318993600057347,2020-11-05 11:53:47+00:00,How about a movie night with 1 Regular Pizza + 1 Personal Pizza from only RM20.20? 🤯 Syok kan? 🍕🙌🏻 Jom grab Domino'… https://t.co/IG6gv1gmjU,9,3,3,[{'url': 'https://t.co/IG6gv1gmjU'}]
12,1386231363435601922,2021-04-25 08:11:26+00:00,"Nak cari tempat letak kereta bukan senang, lagi-lagi pada bulan puasa ni. Kerana #ItsAllAboutYou, kami menggalakkan… https://t.co/WtwewOnFBa",2,0,0,[{'url': 'https://t.co/WtwewOnFBa'}]
13,1335116699704713219,2020-12-05 07:00:01+00:00,"With so many pizza flavors and sides to choose from, which one tingles your tastebuds the most? 🍕 Jom, order your f… https://t.co/zAmszZql3D",5,1,0,[{'url': 'https://t.co/zAmszZql3D'}]
14,1319262230190395392,2020-10-22 13:00:01+00:00,"Not sure what to feed your special someone with?🤔Steady lah, Domino's has got your date night covered with our Buy… https://t.co/hGyKs8yNIu",5,0,1,[{'url': 'https://t.co/hGyKs8yNIu'}]
15,1308713616498024448,2020-09-23 10:23:35+00:00,RT @_naddddzirah: why is it always Red 👀mantap Domino's up-to-date huh 😂 https://t.co/OVvCTGMmBK,0,1,2,[{'url': 'https://t.co/OVvCTGMmBK'}]
16,1355803005434568706,2021-01-31 09:00:00+00:00,Nak makan apa hari ni? Of course makan pizza! 🍕😍Sebab korang can get your favorite pizza flavor from as low as RM5!… https://t.co/1CdrgHDHdo,4,0,0,[{'url': 'https://t.co/1CdrgHDHdo'}]
17,1328965687923109895,2020-11-18 07:38:05+00:00,"Kat Domino's, macam-macam roti 🥖 ada! Cuba korang kira dan berikan jumlah Cheesy Mozzarella Stix yang tepat untuk p… https://t.co/hFoNmD7bWs",17,11,10,[{'url': 'https://t.co/hFoNmD7bWs'}]
18,1349977188242624515,2021-01-15 07:10:17+00:00,"Now, with Pandu Ambil, take-away has never been more safe and hassle-free! Collect your 🍕 without ever needing to l… https://t.co/4Yee9dN6dn",4,4,3,[{'url': 'https://t.co/4Yee9dN6dn'}]
19,1381582544047513600,2021-04-12 12:18:41+00:00,"Esok puasa, dah rancang menu untuk berbuka belum? Jom Jimat-jimat Ramadan dengan Domino's. Macam-macam ada, nak Pan… https://t.co/fdYv2LsrRJ",3,1,0,[{'url': 'https://t.co/fdYv2LsrRJ'}]
