,id,date,text,likes,retweet,comments,urls
0,1347484440486940672,2021-01-08 10:05:00+00:00,Pssstt… Free special edition Coca Cola Cup.Bulan ini sahaja. https://t.co/JIlrzRitJF,76,19,6,[]
1,1290524629442813954,2020-08-04 05:47:03+00:00,Jom bermain skateboard dengan Grizz atau menaiki log sampan dengan Ice Bear dari We Bare Bears!  Percuma je dengan… https://t.co/SoRDH66hTn,32,15,2,[{'url': 'https://t.co/SoRDH66hTn'}]
2,1138339524738600961,2019-06-11 06:57:46+00:00,"Ya, kami baca notification!Anda mahukan Chocolate Pie?Kami bawakan Chocolate Pie! https://t.co/JsjSlKWsXf",1918,747,9,[]
3,1344135446813499395,2020-12-30 04:17:18+00:00,RT @Naz_haz99: Hobi saya adalah bekerja 💜#02OJRN500 #JOURNAKA #Hobi #Mekdi @McDMalaysia https://t.co/jnlbZh2LJ6,0,7,1,[]
4,1352979397804867594,2021-01-23 14:00:00+00:00,3am thought:Jual set untuk orang putus cinta         ‘McDerita’,17241,8142,11,[]
5,1376197611569344512,2021-03-28 15:40:53+00:00,Bila dua minuman kegemaran kita bersatu: McCafe + MILO = BAM! Ahh...Sedapnya bila dapat Ice Blended Milo Latte dan… https://t.co/ryAXhqnq4T,105,23,2,[{'url': 'https://t.co/ryAXhqnq4T'}]
6,1192442395243118593,2019-11-07 14:03:16+00:00,RT @CikTeh5: Yeayy to McValue Lunch and DinnerAvailable via McD apps. https://t.co/9yfK6pqKrP,0,351,1,[]
7,1318808877752741889,2020-10-21 06:58:33+00:00,Tahniah!! Anda pemenang baucar McDonald’s bernilai RM50! Sila DM kami maklumat anda untuk dihubungi selanjutnya. https://t.co/v4dJ8EynsM,57,6,4,[{'url': 'https://t.co/v4dJ8EynsM'}]
8,1363700039034359810,2021-02-22 04:00:00+00:00,Jom cuba tawaran masa terhad Burger Ayam Pedas dan Epal baharu sebelum terlambat! 😉 Pesan sekarang melalui McDelive… https://t.co/TxuGWxXi6x,14,3,0,[{'url': 'https://t.co/TxuGWxXi6x'}]
9,1294099895675047936,2020-08-14 02:33:52+00:00,Puaskan selera anda dengan Nasi Lemak McD bersama Ayam Goreng McD kegemaran ramai! Pesan sekarang melalui McDeliver… https://t.co/8Ze84ONI70,43,13,3,[{'url': 'https://t.co/8Ze84ONI70'}]
10,1384091908822106116,2021-04-19 10:30:00+00:00,"Pakej Parties@Home BAHARU dengan hidangan ayam McD kegemaran semua, sesuai dikongsi bersama! Dapatkan Big Mac Lun… https://t.co/fjcwQOwej4",10,1,0,[{'url': 'https://t.co/fjcwQOwej4'}]
11,1187018733732024323,2019-10-23 14:51:34+00:00,Might drive around and      | 👀 |      \   /____| |_____/          ✊__/\_✊stop by at McD Drive-Thru,2021,955,9,[]
12,1216953196112793601,2020-01-14 05:20:26+00:00,Burger yang tersakiti... https://t.co/NZ8DYvszna,1646,751,10,[]
13,1261484198763696128,2020-05-16 02:30:44+00:00,"Cikgu, hadirmu bagaikan mentari yang menerangi hidup kami dengan cahaya ilmu. Setulus ikhlas ingatan dari kami yang… https://t.co/BB2qVWbWan",70,22,1,[{'url': 'https://t.co/BB2qVWbWan'}]
14,1300757273023672320,2020-09-01 11:27:55+00:00,Reply tweet ini dengan ‘pickup line’ diselit produk Mekdi.Pastikan tak cringe.,429,99,10,[]
15,1298463563388866561,2020-08-26 03:33:32+00:00,Jeng jeng jeng. Keputusan sudah pun berada di tangan kami. Mesti korang tertanya-tanya McD mana yang berjaya kan. N… https://t.co/CI8n8LS8QN,95,40,4,[{'url': 'https://t.co/CI8n8LS8QN'}]
16,1177514313252106240,2019-09-27 09:24:24+00:00,These boots were made for dropping~And that’s just what they’ll doToday is the day that I will~Drop by kat Mekdi Drive-Thru 😎ewahhh,251,32,10,[]
