,id,date,text,likes,retweet,comments,urls
0,949168748954464257,2018-01-05 06:40:39+00:00,Cheese lover? Deluxe Cheese ni menanti korang! Tag a friend who is a cheese lover! Jom ke Restoran Pizza Hut now.… https://t.co/QwfANr8HJK,7,6,0,[{'url': 'https://t.co/QwfANr8HJK'}]
1,1158246663057633281,2019-08-05 05:21:38+00:00,"OMG you guys! Amp up your makan experience with our tastier, crispier and fresher pan pizza! Lagi lagi bila it come… https://t.co/qVFdCx5QO5",8,1,0,[{'url': 'https://t.co/qVFdCx5QO5'}]
2,1352785963718635520,2021-01-23 01:11:21+00:00,"You don’t have to worry about not getting your favourite pizzas, we’ll always be there for you. Tap tap je phone tu… https://t.co/P8XL4YHjCr",2,0,1,[{'url': 'https://t.co/P8XL4YHjCr'}]
3,1365119393563295746,2021-02-26 02:00:00+00:00,"This Chap Goh Mei, can’t throw oranges? No problem, jumpa cinta by using Pizza je!  https://t.co/XA1G8usmt8… https://t.co/4RhAN0Qrd0",0,0,0,"[{'url': 'https://t.co/XA1G8usmt8'}, {'url': 'https://t.co/4RhAN0Qrd0'}]"
4,1136060064068919296,2019-06-05 00:00:00+00:00,"Raya ni kita 0-0 ok. Maksud dia, kita pizza-pizza. Kidding je. Selamat Hari Raya, Maaf Zahir dan Batin. Kalau dah b… https://t.co/5BEl1InApr",8,0,3,[{'url': 'https://t.co/5BEl1InApr'}]
5,842242329528360960,2017-03-16 05:13:14+00:00,"Hi @danialfiqri_ , datang tau kami tunggu 👉👈",2,1,2,[]
6,974842763224154112,2018-03-17 03:00:01+00:00,WOW!!! RM5 je? Confirm puas walaupun on a budget! Orderlah sekarang at 1800-88-2525 ataupun layari… https://t.co/WXFXWN4zUS,18,27,0,[{'url': 'https://t.co/WXFXWN4zUS'}]
7,902375653042929665,2017-08-29 03:41:35+00:00,"Hi @AnggunMohamad our sincere apology for this. Kindly DM us your receipt, phone number and email for further action ya.",0,0,1,[]
8,841576582753935360,2017-03-14 09:07:47+00:00,"Hi @BintuRazali8, jomlah datang makan di Pizza Hut 😄",1,1,0,[]
9,987511238799298560,2018-04-21 02:00:01+00:00,"Tag @A and @K! Ajak diorang betul-betul makan bersama with Hut’s Weekend Specials TERBARU! Makan banyak, jimat bany… https://t.co/rt2GIXx0ex",1,0,0,[{'url': 'https://t.co/rt2GIXx0ex'}]
10,1361864531136323585,2021-02-17 02:26:21+00:00,(2/2) #pizzaheart #ShareRealSayang,0,0,1,[]
11,842241935796461568,2017-03-16 05:11:40+00:00,Hi @iamHaqem Semoga Berjaya untuk SPM! Lepas amik result jgn lupa singgah Pizza Hut!,1,1,1,[]
12,845540601252659200,2017-03-25 07:39:23+00:00,"Hi @nanaaaaad_ ,  Harap maaf atas layanan kami yg kurang memuaskan. Sila tinggalkan no.telefon dan aduan anda di https://t.co/N4tgBFBJmw. TQ",0,0,1,[{'url': 'https://t.co/N4tgBFBJmw'}]
13,912170046108995584,2017-09-25 04:21:00+00:00,Hai @AnggunMohamad boleh bagitau kami pukul berapa anda menerima pizza anda semalam?,1,0,4,[]
